0xC7C0	U+30C4	U+F76D	# KATAKANA LETTER TU
0xC7C1	U+30C5	U+F76E	# KATAKANA LETTER DU
0xC7C2	U+30C6	U+F76F	# KATAKANA LETTER TE
0xC7C3	U+30C7	U+F770	# KATAKANA LETTER DE
0xC7C4	U+30C8	U+F771	# KATAKANA LETTER TO
0xC7C5	U+30C9	U+F772	# KATAKANA LETTER DO
0xC7C6	U+30CA	U+F773	# KATAKANA LETTER NA
0xC7C7	U+30CB	U+F774	# KATAKANA LETTER NI
0xC7C8	U+30CC	U+F775	# KATAKANA LETTER NU
0xC7C9	U+30CD	U+F776	# KATAKANA LETTER NE
0xC7CA	U+30CE	U+F777	# KATAKANA LETTER NO
0xC7CB	U+30CF	U+F778	# KATAKANA LETTER HA
0xC7CC	U+30D0	U+F779	# KATAKANA LETTER BA
0xC7CD	U+30D1	U+F77A	# KATAKANA LETTER PA
0xC7CE	U+30D2	U+F77B	# KATAKANA LETTER HI
0xC7CF	U+30D3	U+F77C	# KATAKANA LETTER BI
0xC7D0	U+30D4	U+F77D	# KATAKANA LETTER PI
0xC7D1	U+30D5	U+F77E	# KATAKANA LETTER HU
0xC7D2	U+30D6	U+F77F	# KATAKANA LETTER BU
0xC7D3	U+30D7	U+F780	# KATAKANA LETTER PU
0xC7D4	U+30D8	U+F781	# KATAKANA LETTER HE
0xC7D5	U+30D9	U+F782	# KATAKANA LETTER BE
0xC7D6	U+30DA	U+F783	# KATAKANA LETTER PE
0xC7D7	U+30DB	U+F784	# KATAKANA LETTER HO
0xC7D8	U+30DC	U+F785	# KATAKANA LETTER BO
0xC7D9	U+30DD	U+F786	# KATAKANA LETTER PO
0xC7DA	U+30DE	U+F787	# KATAKANA LETTER MA
0xC7DB	U+30DF	U+F788	# KATAKANA LETTER MI
0xC7DC	U+30E0	U+F789	# KATAKANA LETTER MU
0xC7DD	U+30E1	U+F78A	# KATAKANA LETTER ME
0xC7DE	U+30E2	U+F78B	# KATAKANA LETTER MO
0xC7DF	U+30E3	U+F78C	# KATAKANA LETTER SMALL YA
0xC7E0	U+30E4	U+F78D	# KATAKANA LETTER YA
0xC7E1	U+30E5	U+F78E	# KATAKANA LETTER SMALL YU
0xC7E2	U+30E6	U+F78F	# KATAKANA LETTER YU
0xC7E3	U+30E7	U+F790	# KATAKANA LETTER SMALL YO
0xC7E4	U+30E8	U+F791	# KATAKANA LETTER YO
0xC7E5	U+30E9	U+F792	# KATAKANA LETTER RA
0xC7E6	U+30EA	U+F793	# KATAKANA LETTER RI
0xC7E7	U+30EB	U+F794	# KATAKANA LETTER RU
0xC7E8	U+30EC	U+F795	# KATAKANA LETTER RE
0xC7E9	U+30ED	U+F796	# KATAKANA LETTER RO
0xC7EA	U+30EE	U+F797	# KATAKANA LETTER SMALL WA
0xC7EB	U+30EF	U+F798	# KATAKANA LETTER WA
0xC7EC	U+30F0	U+F799	# KATAKANA LETTER WI
0xC7ED	U+30F1	U+F79A	# KATAKANA LETTER WE
0xC7EE	U+30F2	U+F79B	# KATAKANA LETTER WO
0xC7EF	U+30F3	U+F79C	# KATAKANA LETTER N
0xC7F0	U+30F4	U+F79D	# KATAKANA LETTER VU
0xC7F1	U+30F5	U+F79E	# KATAKANA LETTER SMALL KA
0xC7F2	U+30F6	U+F79F	# KATAKANA LETTER SMALL KE
0xC7F3	U+0410	U+F7A0	# CYRILLIC CAPITAL LETTER A
0xC7F4	U+0411	U+F7A1	# CYRILLIC CAPITAL LETTER BE
0xC7F5	U+0412	U+F7A2	# CYRILLIC CAPITAL LETTER VE
0xC7F6	U+0413	U+F7A3	# CYRILLIC CAPITAL LETTER GHE
0xC7F7	U+0414	U+F7A4	# CYRILLIC CAPITAL LETTER DE
0xC7F8	U+0415	U+F7A5	# CYRILLIC CAPITAL LETTER IE
0xC7F9	U+0401	U+F7A6	# CYRILLIC CAPITAL LETTER IO
0xC7FA	U+0416	U+F7A7	# CYRILLIC CAPITAL LETTER ZHE
0xC7FB	U+0417	U+F7A8	# CYRILLIC CAPITAL LETTER ZE
0xC7FC	U+0418	U+F7A9	# CYRILLIC CAPITAL LETTER I
0xC7FD	U+0419	U+F7AA	# CYRILLIC CAPITAL LETTER SHORT I
0xC7FE	U+041A	U+F7AB	# CYRILLIC CAPITAL LETTER KA
0xC840	U+041B	U+F7AC	# CYRILLIC CAPITAL LETTER EL
0xC841	U+041C	U+F7AD	# CYRILLIC CAPITAL LETTER EM
0xC842	U+041D	U+F7AE	# CYRILLIC CAPITAL LETTER EN
0xC843	U+041E	U+F7AF	# CYRILLIC CAPITAL LETTER O
0xC844	U+041F	U+F7B0	# CYRILLIC CAPITAL LETTER PE
0xC845	U+0420	U+F7B1	# CYRILLIC CAPITAL LETTER ER
0xC846	U+0421	U+F7B2	# CYRILLIC CAPITAL LETTER ES
0xC847	U+0422	U+F7B3	# CYRILLIC CAPITAL LETTER TE
0xC848	U+0423	U+F7B4	# CYRILLIC CAPITAL LETTER U
0xC849	U+0424	U+F7B5	# CYRILLIC CAPITAL LETTER EF
0xC84A	U+0425	U+F7B6	# CYRILLIC CAPITAL LETTER HA
0xC84B	U+0426	U+F7B7	# CYRILLIC CAPITAL LETTER TSE
0xC84C	U+0427	U+F7B8	# CYRILLIC CAPITAL LETTER CHE
0xC84D	U+0428	U+F7B9	# CYRILLIC CAPITAL LETTER SHA
0xC84E	U+0429	U+F7BA	# CYRILLIC CAPITAL LETTER SHCHA
0xC84F	U+042A	U+F7BB	# CYRILLIC CAPITAL LETTER HARD SIGN
0xC850	U+042B	U+F7BC	# CYRILLIC CAPITAL LETTER YERU
0xC851	U+042C	U+F7BD	# CYRILLIC CAPITAL LETTER SOFT SIGN
0xC852	U+042D	U+F7BE	# CYRILLIC CAPITAL LETTER E
0xC853	U+042E	U+F7BF	# CYRILLIC CAPITAL LETTER YU
0xC854	U+042F	U+F7C0	# CYRILLIC CAPITAL LETTER YA
0xC855	U+0430	U+F7C1	# CYRILLIC SMALL LETTER A
0xC856	U+0431	U+F7C2	# CYRILLIC SMALL LETTER BE
0xC857	U+0432	U+F7C3	# CYRILLIC SMALL LETTER VE
0xC858	U+0433	U+F7C4	# CYRILLIC SMALL LETTER GHE
0xC859	U+0434	U+F7C5	# CYRILLIC SMALL LETTER DE
0xC85A	U+0435	U+F7C6	# CYRILLIC SMALL LETTER IE
0xC85B	U+0451	U+F7C7	# CYRILLIC SMALL LETTER IO
0xC85C	U+0436	U+F7C8	# CYRILLIC SMALL LETTER ZHE
0xC85D	U+0437	U+F7C9	# CYRILLIC SMALL LETTER ZE
0xC85E	U+0438	U+F7CA	# CYRILLIC SMALL LETTER I
0xC85F	U+0439	U+F7CB	# CYRILLIC SMALL LETTER SHORT I
0xC860	U+043A	U+F7CC	# CYRILLIC SMALL LETTER KA
0xC861	U+043B	U+F7CD	# CYRILLIC SMALL LETTER EL
0xC862	U+043C	U+F7CE	# CYRILLIC SMALL LETTER EM
0xC863	U+043D	U+F7CF	# CYRILLIC SMALL LETTER EN
0xC864	U+043E	U+F7D0	# CYRILLIC SMALL LETTER O
0xC865	U+043F	U+F7D1	# CYRILLIC SMALL LETTER PE
0xC866	U+0440	U+F7D2	# CYRILLIC SMALL LETTER ER
0xC867	U+0441	U+F7D3	# CYRILLIC SMALL LETTER ES
0xC868	U+0442	U+F7D4	# CYRILLIC SMALL LETTER TE
0xC869	U+0443	U+F7D5	# CYRILLIC SMALL LETTER U
0xC86A	U+0444	U+F7D6	# CYRILLIC SMALL LETTER EF
0xC86B	U+0445	U+F7D7	# CYRILLIC SMALL LETTER HA
0xC86C	U+0446	U+F7D8	# CYRILLIC SMALL LETTER TSE
0xC86D	U+0447	U+F7D9	# CYRILLIC SMALL LETTER CHE
0xC86E	U+0448	U+F7DA	# CYRILLIC SMALL LETTER SHA
0xC86F	U+0449	U+F7DB	# CYRILLIC SMALL LETTER SHCHA
0xC870	U+044A	U+F7DC	# CYRILLIC SMALL LETTER HARD SIGN
0xC871	U+044B	U+F7DD	# CYRILLIC SMALL LETTER YERU
0xC872	U+044C	U+F7DE	# CYRILLIC SMALL LETTER SOFT SIGN
0xC873	U+044D	U+F7DF	# CYRILLIC SMALL LETTER E
0xC874	U+044E	U+F7E0	# CYRILLIC SMALL LETTER YU
0xC875	U+044F	U+F7E1	# CYRILLIC SMALL LETTER YA
0xC876	U+21E7	U+F7E2	# UPWARDS WHITE ARROW
0xC877	U+21B8	U+F7E3	# NORTH WEST ARROW TO LONG BAR
0xC878	U+21B9	U+F7E4	# LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR
0xC879	U+31CF
0xC87A	U+200CC	U+F7E6	# <cjk>
0xC87B	U+4E5A	U+F7E7	# <cjk>
0xC87C	U+2008A	U+F7E8	# <cjk>
0xC87D	U+5202	U+F7E9	# <cjk>
0xC87E	U+4491		# 
0xC8A1	U+9FB0		# 
0xC8A2	U+5188	U+F7EC	# <cjk>
0xC8A3	U+9FB1		# 
0xC8A4	U+27607	U+F7EE	# <cjk>
0xC8CD	U+FFE2	U+F817	# FULLWIDTH NOT SIGN
0xC8CE	U+FFE4	U+F818	# FULLWIDTH BROKEN BAR
0xC8CF	U+FF07	U+F819	# FULLWIDTH APOSTROPHE
0xC8D0	U+FF02	U+F81A	# FULLWIDTH QUOTATION MARK
0xC8D1	U+3231	U+F81B	# PARENTHESIZED IDEOGRAPH STOCK
0xC8D2	U+2116	U+F81C	# NUMERO SIGN
0xC8D3	U+2121	U+F81D	# TELEPHONE SIGN
0xF9D6	U+7881		# <cjk>
0xF9D7	U+92B9		# <cjk>
0xF9D8	U+88CF		# <cjk>
0xF9D9	U+58BB		# <cjk>
0xF9DA	U+6052		# <cjk>
0xF9DB	U+7CA7		# <cjk>
0xF9DC	U+5AFA		# <cjk>
0xF9DD	U+2554		# BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xF9DE	U+2566		# BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
