#Char	Unicode	SJIS
𥮲	25BB2	F771
𥱋	25C4B	F77C
𥱤	25C64	F77D
𥶡	25DA1	ED8E
𥸮	25E2E	F793
𥹖	25E56	F794
𥹢	25E62	F797
𥹥	25E65	F795
𥻂	25EC2	F79D
𥻘	25ED8	F79B
𥻨	25EE8	F7A0
𥼣	25F23	F7A2
𥽜	25F5C	F7A5
𥿔	25FD4	F7AD
𥿠	25FE0	F7AC
𥿻	25FFB	F7B3
𦀌	2600C	F7B2
𦀗	26017	F7BB
𦁠	26060	F7C0
𦃭	260ED	F7CD
𦉰	26270	F7E7
𦊆	26286	F7E9
𦍌	2634C	F7F0
𦐂	26402	F7F7
𦙾	2667E	F854
𦚰	266B0	F859
𦜝	2671D	F865
𦣝	268DD	F875
𦣪	268EA	F877
𦥑	26951	F879
𦥯	2696F	F87C
𦧝	269DD	F87E
𦨞	26A1E	F883
𦩘	26A58	F88A
𦪌	26A8C	F890
𦪷	26AB7	F893
𦫿	26AFF	EDDB
𦰩	26C29	F263
𦱳	26C73	F8C2
𦳝	26CDD	F8CC
𦹀	26E40	EE52
𦹥	26E65	F8DB
𦾔	26F94	F8F3
𦿶	26FF6	F940
𦿷	26FF7	F941
𦿸	26FF8	F8FC
𧃴	270F4	EE68
𧄍	2710D	F952
𧄹	27139	F955
𧏚	273DA	F985
𧏛	273DB	F984
𧏾	273FE	F98B
𧐐	27410	F98E
𧑉	27449	F993
𧘔	27614	F9A8
𧘕	27615	F9A7
𧘱	27631	F9AA
𧚄	27684	EE8C
𧚓	27693	F9B2
𧜎	2770E	F9BA
𧜣	27723	F9BC
𧝒	27752	F9C0
𧦅	27985	F9D4
𧪄	27A84	F9E1
𧮳	27BB3	F9F5
𧮾	27BBE	F9F7
𧯇	27BC7	F9F8
𧲸	27CB8	FA44
𧶠	27DA0	FA4E
𧸐	27E10	FA51
𧾷	27FB7	FA58
𨂊	2808A	FA61
𨂻	280BB	FA67
𨉷	28277	EEC7
𨊂	28282	FA78
𨋳	282F3	FA7D
𨏍	283CD	EECF
𨐌	2840C	FA86
𨑕	28455	FA8B
𨕫	2856B	FA9A
𨗈	285C8	FA9E
𨗉	285C9	FA9F
𨛗	286D7	FAAA
𨛺	286FA	FAAD
𨥆	28946	FACE
𨥉	28949	FACD
𨥫	2896B	FAD5
𨦇	28987	FAE3
𨦈	28988	FAE4
𨦺	289BA	FAEF
𨦻	289BB	FAF0
𨨞	28A1E	FAFC
𨨩	28A29	FB40
𨩃	28A43	FB4C
𨩱	28A71	FB4B
𨪙	28A99	FB55
𨫍	28ACD	FB56
𨫝	28ADD	FB5D
𨫤	28AE4	FB5C
𨯁	28BC1	FB6D
𨯯	28BEF	FB6E
𨴐	28D10	FB76
𨵱	28D71	FB79
𨷻	28DFB	FB7B
𨸟	28E1F	FB7C
𨸶	28E36	FB81
𨺉	28E89	FB85
𨻫	28EEB	FB87
𨼲	28F32	FB89
𨿸	28FF8	FB91
𩊠	292A0	FBA0
𩊱	292B1	FBA1
𩒐	29490	FBB6
𩗏	295CF	FBC0
𩙿	2967F	FBCA
𩛰	296F0	FBD4
𩜙	29719	FBD7
𩝐	29750	FBDB
𩣆	298C6	FBF4
𩩲	29A72	FC4B
𩷛	29DDB	FC6A
𩸕	29E15	FC78
𩸽	29E3D	FC6B
𩹉	29E49	FC7C
𩺊	29E8A	FC7A
𩻄	29EC4	FC87
𩻛	29EDB	FC90
𩻩	29EE9	FC8D
𩿎	29FCE	FCA3
𪀚	2A01A	FCA9
𪀯	2A02F	FCA7
𪂂	2A082	FCB3
𪃹	2A0F9	FCB0
𪆐	2A190	EFE4
𪎌	2A38C	FCD6
𪐷	2A437	FCD8
𪗱	2A5F1	FCEC
𪘂	2A602	FCEE
𪘚	2A61A	FCF0
𪚲	2A6B2	FCF4
