#台語教典 = 教育部《臺灣閩南語常用詞辭典》 https://twblg.dict.edu.tw/
#客語教典 = 教育部《臺灣客家語常用詞辭典》 https://hakka.dict.edu.tw/
#以上為 創用CC 姓名標示-禁止改作 3.0 授權
#非屬以上兩典，標註有「再會豆腐字」 的字，來自 https://tauhu.tw/jit-tsi/ 蒐集的結果
#Char	Unicode	Big5	Memo
叫	53EB	V	台語教典、客語教典
召	53EC	V	台語教典、客語教典
叭	53ED	V	台語教典、客語教典
叮	53EE	V	台語教典、客語教典
可	53EF	V	台語教典、客語教典
台	53F0	V	台語教典、客語教典
史	53F2	V	台語教典、客語教典
右	53F3	V	台語教典、客語教典
司	53F8	V	台語教典、客語教典
叹	53F9		再會豆腐字：客語閱讀越懂
叼	53FC	V	客語教典
吂	5402		客語教典
吃	5403	V	客語教典
各	5404	V	台語教典、客語教典
合	5408	V	台語教典、客語教典
吉	5409	V	台語教典、客語教典
吊	540A	V	台語教典、客語教典
吋	540B	V	台語教典
同	540C	V	台語教典、客語教典
名	540D	V	台語教典、客語教典
后	540E	V	台語教典、客語教典
吏	540F	V	台語教典、客語教典
吐	5410	V	台語教典、客語教典
向	5411	V	台語教典、客語教典
吒	5412	V	台語教典
吓	5413		客語教典
吔	5414		再會豆腐字：客語閱讀越懂
君	541B	V	台語教典、客語教典
吝	541D	V	台語教典
吞	541E	V	台語教典、客語教典
吟	541F	V	台語教典、客語教典
吠	5420	V	台語教典、客語教典
否	5426	V	台語教典、客語教典
吧	5427	V	台語教典、客語教典
吩	5429	V	台語教典、客語教典
含	542B	V	台語教典、客語教典
吭	542D	V	台語教典
吮	542E	V	台語教典、客語教典
吱	5431	V	台語教典、客語教典
吳	5433	V	台語教典、客語教典
吵	5435	V	台語教典、客語教典
吶	5436	V	台語教典
吸	5438	V	台語教典、客語教典
吹	5439	V	台語教典、客語教典
吻	543B	V	台語教典、客語教典
吼	543C	V	台語教典
吾	543E	V	台語教典、客語教典
呂	5442	V	台語教典、客語教典
呃	5443	V	台語教典
呆	5446	V	台語教典、客語教典
呈	5448	V	台語教典、客語教典
告	544A	V	台語教典、客語教典
呔	5454	V	台語教典
呢	5462	V	台語教典、客語教典
呧	5467	V	台語教典
周	5468	V	台語教典、客語教典
呱	5471	V	台語教典、客語教典
呲	5472	V	台語教典
味	5473	V	台語教典、客語教典
呴	5474	V	台語教典
呵	5475	V	台語教典、客語教典
呷	5477	V	客語教典
呸	5478	V	台語教典
呻	547B	V	台語教典、客語教典
呼	547C	V	台語教典、客語教典
命	547D	V	台語教典、客語教典
呾	547E	V	台語教典
呿	547F	V	台語教典、客語教典
咂	5482	V	台語教典、客語教典
咄	5484	V	客語教典
咇	5487	V	台語教典
和	548C	V	台語教典、客語教典
咍	548D	V	台語教典
咎	548E	V	台語教典
咏	548F		再會豆腐字：客語教典例句
咐	5490	V	台語教典、客語教典
咒	5492	V	台語教典、客語教典
咕	5495	V	客語教典
咖	5496	V	台語教典、客語教典
咚	549A	V	客語教典
咦	54A6	V	客語教典
咧	54A7	V	台語教典、客語教典
咨	54A8	V	客語教典
咩	54A9	V	台語教典
咪	54AA	V	台語教典、客語教典
咫	54AB	V	台語教典
咬	54AC	V	台語教典、客語教典
咯	54AF	V	台語教典、客語教典
咱	54B1	V	台語教典
咳	54B3	V	台語教典、客語教典
咸	54B8	V	客語教典
咻	54BB	V	台語教典、客語教典
咽	54BD	V	台語教典
咾	54BE	V	台語教典
哀	54C0	V	台語教典、客語教典
品	54C1	V	台語教典、客語教典
哆	54C6	V	台語教典、客語教典
哇	54C7	V	客語教典
哈	54C8	V	台語教典、客語教典
哉	54C9	V	台語教典、客語教典
哊	54CA		客語教典
哎	54CE	V	台語教典
哖	54D6	V	台語教典
員	54E1	V	台語教典、客語教典
哢	54E2	V	客語教典
哥	54E5	V	台語教典、客語教典
哦	54E6	V	客語教典
哨	54E8	V	台語教典、客語教典
哩	54E9	V	台語教典、客語教典
哪	54EA	V	台語教典、客語教典
哭	54ED	V	台語教典、客語教典
哮	54EE	V	客語教典
哯	54EF		客語教典
哱	54F1	V	客語教典
哲	54F2	V	台語教典、客語教典
哹	54F9		台語教典
哺	54FA	V	台語教典、客語教典
哼	54FC	V	台語教典
哽	54FD	V	台語教典、客語教典
唁	5501	V	客語教典
唅	5505	V	台語教典
唆	5506	V	台語教典、客語教典
唇	5507	V	台語教典
唉	5509	V	台語教典、客語教典
唊	550A	V	客語教典
唌	550C	V	台語教典
唏	550F	V	台語教典
唐	5510	V	台語教典、客語教典
唔	5514	V	台語教典
唚	551A	V	台語教典、客語教典
唧	5527	V	客語教典
唩	5529		客語教典
唬	552C	V	台語教典
唭	552D	V	台語教典
售	552E	V	台語教典、客語教典
唯	552F	V	台語教典、客語教典
唱	5531	V	台語教典、客語教典
唶	5536	V	客語教典
唷	5537	V	台語教典、客語教典
唸	5538	V	台語教典、客語教典
唾	553E	V	台語教典
唿	553F		台語教典
啃	5543	V	客語教典
啄	5544	V	台語教典、客語教典
商	5546	V	台語教典、客語教典
啉	5549		台語教典、客語教典
啊	554A	V	台語教典、客語教典
問	554F	V	台語教典、客語教典
啐	5550	V	客語教典
啖	5556	V	台語教典
啜	555C	V	客語教典
啞	555E	V	台語教典、客語教典
啟	555F	V	台語教典、客語教典
啡	5561	V	台語教典、客語教典
啣	5563	V	客語教典
啥	5565	V	台語教典
啦	5566	V	台語教典、客語教典
啲	5572		再會豆腐字：客語認證詞彙
啷	5577	V	客語教典
啼	557C	V	台語教典、客語教典
啾	557E	V	台語教典、客語教典
喀	5580	V	台語教典、客語教典
喂	5582	V	台語教典
喃	5583	V	台語教典、客語教典
善	5584	V	台語教典、客語教典
喇	5587	V	台語教典、客語教典
喈	5588	V	台語教典
喉	5589	V	台語教典、客語教典
喊	558A	V	台語教典、客語教典
喋	558B	V	台語教典、客語教典
喌	558C	V	台語教典
喏	558F	V	客語教典
喑	5591	V	台語教典
喓	5593	V	台語教典
喔	5594	V	台語教典、客語教典
喘	5598	V	台語教典、客語教典
喙	5599	V	台語教典
喚	559A	V	台語教典、客語教典
喜	559C	V	台語教典、客語教典
喝	559D	V	台語教典、客語教典
喢	55A2	V	台語教典
喤	55A4	V	客語教典
喥	55A5	V	客語教典
喧	55A7	V	台語教典、客語教典
喨	55A8	V	台語教典
喪	55AA	V	台語教典、客語教典
喫	55AB	V	客語教典
喬	55AC	V	台語教典、客語教典
單	55AE	V	台語教典、客語教典
喲	55B2	V	台語教典、客語教典
喳	55B3	V	台語教典、客語教典
喺	55BA		再會豆腐字：客語閱讀越懂
喻	55BB	V	台語教典、客語教典
嗄	55C4	V	台語教典、客語教典
嗇	55C7	V	台語教典
嗋	55CB	V	客語教典
嗎	55CE	V	客語教典
嗑	55D1	V	客語教典
嗒	55D2	V	客語教典
嗙	55D9	V	台語教典、客語教典
嗚	55DA	V	台語教典
嗝	55DD	V	台語教典
嗟	55DF	V	客語教典
嗣	55E3	V	台語教典、客語教典
嗤	55E4	V	台語教典
嗦	55E6	V	台語教典、客語教典
嗬	55EC		客語教典
嗯	55EF	V	客語教典
嗲	55F2	V	台語教典、客語教典
嗶	55F6	V	客語教典
嗹	55F9	V	台語教典、客語教典
嗺	55FA	V	台語教典
嗽	55FD	V	台語教典、客語教典
嗾	55FE	V	台語教典
嘀	5600	V	客語教典
嘆	5606	V	台語教典、客語教典
嘈	5608	V	台語教典
嘉	5609	V	台語教典、客語教典
嘍	560D	V	客語教典
嘎	560E	V	客語教典
嘐	5610	V	台語教典
嘓	5613	V	台語教典
嘔	5614	V	台語教典、客語教典
嘖	5616	V	台語教典、客語教典
嘗	5617	V	台語教典、客語教典
嘛	561B	V	台語教典
嘟	561F	V	台語教典、客語教典
嘩	5629	V	台語教典
嘬	562C	V	客語教典
嘮	562E	V	台語教典
嘯	562F	V	台語教典
嘰	5630	V	客語教典
嘲	5632	V	客語教典
嘴	5634	V	客語教典
嘹	5639	V	台語教典
嘻	563B	V	台語教典、客語教典
